 name	GO
PF3D7_1209000	PF3D7_1209000	GO:0034399
PF3D7_0935400	GDV1	GO:0034399
PF3D7_0321400	STK	GO:0034399
PF3D7_0919000	NAPS	GO:0034399
PF3D7_1333700	CenH3	GO:0034399
PF3D7_1220900	HP1	GO:0034399
PF3D7_1449700	RRP6	GO:0034399
PF3D7_1128400	FPPS/GGPPS	GO:0004311
PF3D7_1440300	PBGS	GO:0006783
PF3D7_1209600	PBGD	GO:0006783
PF3D7_0623200	FNR	GO:0004324
PF3D7_1446800	HDP	GO:0016829
PF3D7_1128400	FPPS/GGPPS	GO:0004337
PF3D7_0624000	HK	GO:0004396
PF3D7_1438900	Trx-Px1	GO:0016209
PF3D7_0306300	GRX1	GO:0016209
PF3D7_0802200	1-CysPxn	GO:0016209
PF3D7_0418500	BET3	GO:0005794
PF3D7_1020900	ARF1	GO:0005794
PF3D7_1017300	GRASP	GO:0005794
PF3D7_1037500	DYN2	GO:0005794
PF3D7_1017300	GRASP	GO:0005794
PF3D7_1343000	PMT	GO:0005794
PF3D7_0320100	SEC22	GO:0005794
PF3D7_1353600	ERD2	GO:0005794
PF3D7_1451800	SORTLR	GO:0005794
PF3D7_0910600	YKT6.1	GO:0005794
PF3D7_1123500	GP2	GO:0005794
PF3D7_0704600	UT	GO:0005794
PF3D7_1311400	AP1M1	GO:0005794
PF3D7_1218000	TRAMP	GO:0005794
PF3D7_1121000	DHHC3	GO:0005794
PF3D7_1354200	SAC1	GO:0005794
PF3D7_0707300	RAMA	GO:0005794
PF3D7_1320000	GP1	GO:0005794
PF3D7_0629500	AAT1	GO:0006855
PF3D7_1118600	MYST	GO:0004402
PF3D7_0321900	CARL	GO:0005801
PF3D7_1353600	ERD2	GO:0005801
PF3D7_1451800	SORTLR	GO:0005801
PF3D7_1332000	SYN5	GO:0005801
PF3D7_1144900	RAB6	GO:0005802
PF3D7_0501300	SBP1	GO:0015031
PF3D7_0911300	CRMP1	GO:0046907
PF3D7_0515300	PI3K	GO:0046907
PF3D7_1208200	CRMP3	GO:0046907
PF3D7_0718300	CRMP2	GO:0046907
PF3D7_1475400	CRMP4	GO:0046907
PF3D7_1311400	AP1M1	GO:0016192
PF3D7_1354800	MCA1	GO:0006915
PF3D7_1363500	PF3D7_1363500	GO:0004518
PF3D7_1136300	TSN	GO:0004518
PF3D7_0319200	PF3D7_0319200	GO:0004518
PF3D7_0107200	PF3D7_0107200	GO:0004518
PF3D7_1238600	NSM	GO:0004518
PF3D7_0323500	SMN	GO:0004518
PF3D7_0709700	PARE	GO:0016788
PF3D7_0112000	TatD	GO:0004536
PF3D7_0517600	CPbeta	GO:0008290
PF3D7_1247800	DPAP2	GO:0071944
PF3D7_0507300	SOPT	GO:0071944
PF3D7_1342600	MyoA	GO:0071944
PF3D7_1100800	MC-2TM	GO:0016021
PF3D7_0314200	PF3D7_0314200	GO:0016021
PF3D7_1101700	MC-2TM	GO:0016021
PF3D7_0529300	TIC22	GO:0016021
PF3D7_0406200	Pfs16	GO:0016021
PF3D7_0222100	MC-2TM	GO:0016021
PF3D7_0501300	SBP1	GO:0016021
PF3D7_0101300	MC-2TM	GO:0016021
PF3D7_1039700	MC-2TM	GO:0016021
PF3D7_1136900	SUB2	GO:0016021
PF3D7_0713100	MC-2TM	GO:0016021
PF3D7_0202200	PTP1	GO:0016021
PF3D7_1323500	PMV	GO:0016021
PF3D7_1452300	DER1-1	GO:0016021
PF3D7_0314300	DER1-2	GO:0016021
PF3D7_0206800	MSP2	GO:0016021
PF3D7_0700800	MC-2TM	GO:0016021
PF3D7_0701600	MC-2TM	GO:0016021
PF3D7_0114100	MC-2TM	GO:0016021
PF3D7_0324100	MC-2TM	GO:0016021
PF3D7_0104200	PF3D7_0104200	GO:0016021
PF3D7_0707300	RAMA	GO:0045121
PF3D7_1252200	CHT1	GO:0004568
